numero_station,SNPA,statut,nom,adresse,arrondissement_ville,latitude,longitude,X,Y,secteur_id,secteur_nom,hauteur,"numero_station,SNPA,statut,nom,adresse,arrondissement_ville,latitude,longitude,X,Y,secteur_id,secteur_nom,hauteur"
1,50102,fermé,Jardin Botanique,"Jardin Botanique, Montréal",Rosemont-La Petite-Patrie,45.56221,-73.571785,299196.165787255,5046924.62679243,1,Centre-Ville,4,
3,50103,ouvert,Saint-Jean-Baptiste ,"1050 A, St-Jean-Baptiste",Rivière-des-Prairies,45.641026,-73.499682,304824.789662098,5055681.13314813,4,Est,4,
6,50124,ouvert,Anjou,7650 rue Châteauneuf,Anjou,45.602846,-73.558874,300207.366295338,5051439.76806955,4,Est,12,
7,50133,fermé,Chénier,Aréna Chénier (coin Chénier et Avenue de l'Aréna),Anjou,45.60176,-73.541992,301524.231482669,5051318.24999781,4,Est,4,
12,50104,fermé,Ontario,1125 Ontario,Ville-Marie,45.52055,-73.563222,299860.982713219,5042294.33692829,1,Centre-Ville,16,
13,50105,fermé,Drummond,1212 Drummond,Ville-Marie,45.497859,-73.573035,299092.080351372,5039773.32258187,1,Centre-Ville,,
17,50135,ouvert,Caserne 17,4240 rue Charleroi,Montréal-Nord,45.593325,-73.637328,294085.527312357,5050389.16407416,3,Nord,15,
28,50109,ouvert,Échangeur Décarie,2495 Duncan,Mont-Royal,45.502648,-73.663913,291990.759167783,5040316.00071023,3,Nord,4,
29,50110,fermé,Parc Pilon,"11280 Pie IX, (Parc Pilon)",Montréal-Nord,45.594576,-73.641535,293757.538177622,5050528.76117257,3,Nord,4,
31,50136,ouvert,Saint-Dominique,"75, rue Ontario Est",Ville-Marie,45.512189,-73.566842,299577.408387699,5041365.40172462,1,Centre-Ville,15,
43,50127,fermé,Saint-Michel,8110 Boul. St-Michel,St-Michel,45.563697,-73.610447,296178.277556341,5047093.30656527,3,Nord,,
49,50123,fermé,Dorval,55 ave. Lilas,Dorval,45.439119,-73.7333,286547.908839257,5033269.43906126,2,Ouest,,
50,50131,ouvert,Hochelaga-Maisonneuve,"3250, Ste-Catherine Est",Hochelaga-Maisonneuve,45.539928,-73.540388,301645.899475394,5044446.68313382,1,Centre-Ville,10,
55,50129,ouvert,Rivière-des-Prairies,"12400, Wilfrid-Ouellette, coin Louis-Lumière",Rivière-des-Prairies,45.651722,-73.573896,299040.540046544,5056872.47076556,4,Est,4,
59,,fermé,Rivière-des-Prairies,12145 boul. Rivière-des-Prairies,Rivière-des-Prairies,45.652701,-73.562951,299893.67966801,5056980.54187282,4,Est,,
61,50115,fermé,Maisonneuve,1001 de Maisonneuve Ouest,Ville-Marie,45.501531,-73.574311,298992.734347662,5040181.48496577,1,Centre-Ville,4,
66,50128,ouvert,Aéroport de Montréal,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",Dorval,45.468297,-73.741185,285940.758197803,5036513.79603217,2,Ouest,4,
68,50116,fermé,Verdun,3161 Joseph,Verdun,45.472854,-73.57296,299095.418627806,5036994.50792842,1,Centre-Ville,11,
80,50134,ouvert,Saint-Joseph,2580 Saint-Joseph est,Rosemont-La Petite-Patrie,45.542767,-73.572039,299174.398047754,5044763.91561121,1,Centre-Ville,15,
99,50126,ouvert,Sainte-Anne-de-Bellevue,"20965, Ch. Ste-Marie",Sainte-Anne-de-Bellevue,45.426509,-73.928944,271234.341890744,5031931.12785346,2,Ouest,4,
103,50138,ouvert,York/Roberval,5398 rue York,Sud-Ouest,45.464611,-73.582583,298342.076279141,5036079.19290024,1,Centre-Ville,4,
